Text,Source
"Britain's current account deficit dropped to 1.6 billion -LRB-$ 2.56 billion -RRB- in September from an adjusted 2 billion -LRB-$ 3.21 billion -RRB- the previous month, but the improvement comes amid increasing concern that a recession could strike the U.K. economy next year.",ontonotes5
"David Owen, U.K. economist with Kleinwort Benson Group, reduced his growth forecast for 1990 to 0.7% from 1.2% and termed the risk of recession next year ``quite high.''",ontonotes5
"Still, Britain's current slump is a cause for concern here as the nation joins in the European Community's plan to create a unified market by 1992.",ontonotes5
"Compared with the major economies on the Continent, the U.K. faces both higher inflation and lower growth in the next several months.",ontonotes5
"As a result, Mr. Owen warned, investment will be more likely to flow toward the other European economies and ``the U.K. will be less prepared for the single market.''",ontonotes5
"Britain's latest trade figures contained some positive news for the economy, such as a surge in the volume of exports, which were 8.5% higher than a year earlier.",ontonotes5
"The Thoroughbred Owners and Breeders Association, a Lexington, Ky.-based trade group, has launched ``seminars'' for ``potential investors'' at race tracks around the country.",ontonotes5
"``People in this business have been insulated ,'' says Josh Pons, a horse breeder from Bel Air, Md.",ontonotes5
"At the Laurel race track, the breeders are romancing people like Tim Hulings, a beer packaging plant worker.",ontonotes5
"``It's a big-risk business ,'' warns Charles C. Mihalek, a Lexington attorney and former Kentucky state securities commissioner.",ontonotes5
"Consider Spendthrift Farm, a prominent Lexington horse farm that went public in 1983 but hit hard times and filed for bankruptcy-court protection last year.",ontonotes5
"``It's just a matter of marketing and promoting ourselves ,'' says Headley Bell, a fifth-generation horse breeder from Lexington.",ontonotes5
"Katherine Voss, a veteran trainer at the Laurel, Md., track, offers neophytes a sobering tour of a horse barn, noting that only three of about a dozen horses have won sizable purses.",ontonotes5
"``The industry is based on individual honesty ,'' says Cap Hershey, a Lexington horse farmer and one of the investors who bought Spendthrift.",ontonotes5
"The Waterbury, Conn., maker of industrial fasteners and metal stampings has 2.3 million shares outstanding.",ontonotes5
Mr. Bebear added that the French insurer would keep Farmers ' headquarters in Los Angeles and ``will not send French people to run the company.'',ontonotes5
Mr. Bebear made his remarks at a breakfast meeting with reporters here yesterday as part of a tour in which he is trying to rally support in the U.S. for the proposed acquisition.,ontonotes5
"Any acquisition of Farmers needs the approval of insurance commissioners in the nine states where Farmers operates, and Mr. Bebear's trip will take him to Idaho, Arizona and New York after his stay here; he will meet with insurance regulators, legislators, industry excutives and the press.",ontonotes5
Hearings on Axa's acquisition application have been set for Nov. 13 in Idaho; Nov. 20 in Illinois; Nov. 24 and Dec. 4 in Arizona; Dec. 11 in Washington state; and Jan. 8 in Oregon.,ontonotes5
"Hearings haven't yet been set in Texas, Ohio and Kansas.",ontonotes5
California's insurance commissioner doesn't hold hearings on acquisition applications.,ontonotes5
"Shaw-Walker, based in Muskegon, Mich., makes metal files and desks, and seating and office systems furniture.",ontonotes5
"Israel has launched a new effort to prove the Palestine Liberation Organization continues to practice terrorism, and thus to persuade the U.S. to break off talks with the group.",ontonotes5
"U.S. officials, however, said they aren't buying the Israeli argument.",ontonotes5
"Mr. Arafat publicly renounced terrorism Dec. 15, satisfying the U.S. precondition for a direct ``dialogue'' with the PLO.",ontonotes5
A U.S. counterterrorism official said experts are studying the Israeli list.,ontonotes5
"Israel wants to end the dialogue, but our analysts take a different view than theirs.''",ontonotes5
"Mr. Carmon said he also presented the list last week to William Brown, U.S. Ambassador to Israel.",ontonotes5
"Separately, the New York Times reported that the Israeli government had provided its correspondent in Jerusalem with different documents that Israel said prove the PLO has been conducting terrorism from the occupied Arab territories.",ontonotes5
"Israel has long claimed Mr. Arafat never meant to renounce terrorism, particularly because he and his lieutenants reserved the right to press ``armed struggle'' against the Jewish state.",ontonotes5
"Now, Jerusalem says it is backing up its contention with detailed accounts of alleged terrorist acts and plans linked to Mr. Arafat.",ontonotes5
The new accusations come at a delicate time in U.S. efforts to bring about talks between Israel and Palestinian representatives.,ontonotes5
"The State Department said it had received a new letter on the subject from Israeli Foreign Minister Moshe Arens, restating Israel's previous objection to negotiating with any Palestinian tied to the PLO.",ontonotes5
"The U.S. defines it as ``premediated, politically motivated violence perpetrated against noncombatant targets by subnational groups or clandestine state agents.''",ontonotes5
"To meet the U.S. criteria, Israel contended it only listed incidents that involved civilians and occurred inside its pre-1967 borders.",ontonotes5
"At the heart of Israel's report is a list of a dozen incidents Jerusalem attributes to Fatah, including the use of bombs and Molotov cocktails.",ontonotes5
"But U.S. officials say they aren't satisfied these incidents constitute terrorism because they may be offshoots of the intifadah, the Palestinian rebellion in the occupied territories, which the U.S. doesn't classify as terrorism.",ontonotes5
"In addition, the officials say Israel hasn't presented convincing evidence these acts were ordered by Fatah or by any group Mr. Arafat controls.",ontonotes5
U.S. terrorism experts also say they are highly uncertain about the veracity of the separate documents leaked to the New York Times.,ontonotes5
"The papers, which Israel says were discovered in Israeli-occupied Gaza, refer to terrorist acts to be carried out in the name of a group called ``the Revolutionary Eagles.''",ontonotes5
Some supporters of Israel say U.S. policy on Palestinian terrorism is colored by an intense desire to maintain the dialogue with the PLO.,ontonotes5
But State Department officials accuse Israel of leaking questionable claims to embarrass the U.S..,ontonotes5
"Concern about the volatile U.S. stock market had faded in recent sessions, and traders appeared content to let the dollar languish in a narrow range until tomorrow, when the preliminary report on third-quarter U.S. gross national product is released.",ontonotes5
But seesaw gyrations in the Dow Jones Industrial Average yesterday put Wall Street back in the spotlight and inspired market participants to bid the U.S. unit lower.,ontonotes5
They added that the DJIA's swift drop proved an easy excuse for the market to drive the U.S. currency in the direction it was already headed.,ontonotes5
"In late New York trading yesterday, the dollar was quoted at 1.8355 marks, down from 1.8470 marks Monday, and at 141.45 yen, down from 141.90 yen late Monday.",ontonotes5
"In Tokyo Wednesday, the U.S. currency opened for trading at 141.57 yen, down from Tuesday's Tokyo close of 142.10 yen.",ontonotes5
"Tom Trettien, a vice president with Banque Paribas in New York, sees a break in the dollar's long-term upward trend, a trend that began in January 1988.",ontonotes5
"Analysts peg the dollar's recent weakness to an underlying slowdown in the U.S. economy, highlighted by recent economic data, particularly a surprisingly sharp widening in the August U.S. trade gap.",ontonotes5
They also point out that narrowing interest-rate differentials between the U.S. and its major trading partners tend to make the U.S. currency less attractive to foreign investors.,ontonotes5
"Following the dive in U.S. stocks, the mark has strengthened more than its major counterparts.",ontonotes5
"But, they add that the mark's strength is in part a reflection of a shift away from U.S. assets by Japanese investors into West German investments.",ontonotes5
"Despite the yen's weakness with respect to the mark, Tokyo traders say they don't expect the Bank of Japan to take any action to support the Japanese currency on that front.",ontonotes5
"Meanwhile, sterling slumped on news that the United Kingdom posted a wider-than-expected trade deficit in September.",ontonotes5
"The news also knocked the British unit to below 2.95 marks in London, but a bout of short-covering helped sterling recoup some of its earlier losses.",ontonotes5
"On the Commodity Exchange in New York, gold for current delivery jumped$ 3.20 to$ 370.20 an ounce.",ontonotes5
"In early trading in Hong Kong Wednesday, gold was quoted at$ 368.25 an ounce.",ontonotes5
But he also cited concerns over the company's mortgage exposure in the troubled New England real estate market.,ontonotes5
"Mexico exported an average of 1,296,800 barrels of crude oil a day at an average of$ 15.31 a barrel during 1989's first eight months for a total of$ 4.82 billion, Petroleos Mexicanos S.A. said.",ontonotes5
"Oil imports to Japan rose 12% in September from year-earlier levels, according to statistics released by the government's Ministry of International Trade and Industry.",ontonotes5
"Imports of crude from the Middle East grew 17% from year-earlier levels, and Southeast Asian crude imports grew 43%.",ontonotes5
"While Mideast crude imports were higher compared with year-earlier levels, they fell 18% compared with August imports.",ontonotes5
"In Houston, we have seen how bad the housing problem can become.",ontonotes5
Houston,ontonotes5
"Italy's unemployment rate rose to 12% of the labor force in July from 11.9% in April, and was up from 11.7% a year earlier, according to quarterly figures from the state statistical institute.",ontonotes5
"The unemployment rate was by far the highest in the southern, so-called Mezzogiorno region.",ontonotes5
Both firms are in New York.,ontonotes5
"Excluding Mexico, reserves equal 95% of LDC exposure.",ontonotes5
"ALBERTA ENERGY Co., Calgary, said it filed a preliminary prospectus for an offering of common shares.",ontonotes5
"The government's startling allegations, filed only days before the scheduled start of a criminal overcharge trial against GE in Philadelphia federal district court, challenge the motives and veracity of the nation's third-largest defense contractor.",ontonotes5
"GE pleaded guilty and paid a fine of more than$ 1 million in the Minuteman case, which involved some of the same individuals and operations that are at the center of the dispute in the Philadelphia court.",ontonotes5
London share prices closed sharply lower Tuesday on the back of Wall Street's steep drop and renewed fears over U.K. economic fundamentals.,ontonotes5
"Tokyo's winning streak came to an end, and stocks fell in Frankfurt and across Europe as well.",ontonotes5
London's Financial Times 100-share index shed 40.4 points to finish at 2149.3.,ontonotes5
"At London's close, the Dow Jones Industrial Average was 51.23 points lower at 2611.68.",ontonotes5
Dealers said the initial pressure came from mildly disappointing U.K. trade figures for September and a worrisome report by the Confederation of British Industry that a decline in orders for manufactured goods is depressing both business optimism and investment plans for the coming year.,ontonotes5
"The trade and CBI reports refocused attention on high interest rates and corporate profitability and helped rekindle underlying concerns over prospects for a recession in the U.K., dealers said.",ontonotes5
"They added that market-makers were knocking share prices down in midafternoon in a bid to attract some interest, but the action largely helped open the way for London's late declines.",ontonotes5
Dealers said the market didn't react substantially to Ford Motor Co.'s disclosure to the U.S. Securities and Exchange Commission that it will seek 100% of Jaguar's shares outstanding when U.K. government share regulations are lifted at the end of next year.,ontonotes5
"Tokyo stocks closed easier, posting their first loss in six trading days, partly because of programmed index-linked selling by trust investment funds in the afternoon session.",ontonotes5
"In early trading in Tokyo Wednesday, the Nikkei index rose 17.92 points to 35544.47.",ontonotes5
"On Tuesday, the Tokyo stock price index of all first section issues was down 6.31 at 2681.22.",ontonotes5
Share prices on the Frankfurt stock exchange closed sharply lower in thin dealings as worried investors remained idle as the result of two potentially destabilizing domestic developments.,ontonotes5
"Market participants say investors are not only licking their wounds following the turbulence last week, but they have also been made nervous by two events in West Germany.",ontonotes5
"On Sunday, the governing Christian Democratic Union suffered a series of setbacks, the extent of which became fully known only late Monday, in municipal elections in Baden-Wuerttemberg.",ontonotes5
"Mr. Steinkuehler said at a convention in West Berlin that the union has to prepare for ``a big fight'' to achieve its main goal of a 35-hour workweek, down from current 37-hour workweek.",ontonotes5
"Elsewhere, share prices closed lower in Zurich, Amsterdam, Milan and Stockholm.",ontonotes5
"Prices closed lower in Sydney, Singapore and Wellington, were mixed in Hong Kong and higher in Taipei, Manila, Paris, Brussels and Seoul.",ontonotes5
"Here are price trends on the world's major stock markets, as calculated by Morgan Stanley Capital International Perspective, Geneva.",ontonotes5
"Directors of Bergen Bank and Den Norske Creditbank, two of Norway's leading banks, announced they had agreed to the formal merger of the banks.",ontonotes5
"The merger would create Scandinavia's seventh largest bank, with combined assets of 210 billion Norwegian kroner -LRB-$ 30.3 billion -RRB-.",ontonotes5
The two boards said in a joint statement that the proposed merger agreement was considered in separate board meetings in Oslo Monday.,ontonotes5
"Sen. Alan Dixon -LRB- D, Ill. -RRB-, chairman of the subcommittee on consumer and regulatory affairs, said, ``I'm not a statistician.",ontonotes5
"``If we've got folks out there who are being turned away in the mortgage market improperly and unfairly ,'' said Sen. Donald Riegle -LRB- D., Mich. -RRB-, chairman of the banking committee, ``then that is a matter that needs remedy now, not six months from now, or six years from now, or 26 years from now.''",ontonotes5
"That ``suggests the manufacturing sector is not falling apart ,'' said Sally Kleinman, an economist at Manufacturers Hanover Securities Corp. in New York.",ontonotes5
"Still, Milton Hudson, senior economic adviser at Morgan Guaranty Trust Co. in New York, said: ``If you look back a half-year or so the evidence was pretty good of affirmative strength in the capital-goods sector.",ontonotes5
"The subscribers are in 52 different communities in Georgia, Alabama and Mississippi.",ontonotes5
"Allen B. Richards Peterborough, N.H.",ontonotes5
The key U.S. and foreign annual interest rates below are a guide to general levels but don't always represent actual transactions.,ontonotes5
The base rate on corporate loans at large U.S. money center commercial banks.,ontonotes5
"Average of top rates paid by major New York banks on primary new issues of negotiable C.D.s, usually on amounts of$ 1 million and more.",ontonotes5
LONDON LATE EURODOLLARS: 8 11/16% to 8 9/16% one month; 8 5/8% to 8 1/2% two months; 8 5/8% to 8 1/2% three months; 8 9/16% to 8 7/16% four months; 8 1/2% to 8 3/8% five months; 8 7/16% to 8 5/16% six months.,ontonotes5
LONDON INTERBANK OFFERED RATES -LRB- LIBOR -RRB-: 8 11/16% one month; 8 11/16% three months; 8 1/2% six months; 8 1/2% one year.,ontonotes5
The average of interbank offered rates for dollar deposits in the London market based on quotations at five major banks.,ontonotes5
FOREIGN PRIME RATES: Canada 13.50%; Germany 9%; Japan 4.875%; Switzerland 8.50%; Britain 15%.,ontonotes5
"TREASURY BILLS: Results of the Monday, October 23, 1989, auction of short-term U.S. government bills, sold at a discount from face value in units of$ 10,000 to$ 1 million: 7.52% 13 weeks; 7.50% 26 weeks.",ontonotes5
"Tele-Communications, the U.S.'s largest cable company, said it may seek other cable partners to join in its investment.",ontonotes5
"Time is expected to mount a legal challenge in U.S. District Court in New York, where Viacom in May filed a$ 2.5 billion antitrust suit charging Time and HBO with monopolizing the pay-TV business and trying to crush competition from Showtime.",ontonotes5
Showtime has also accused HBO of locking up the lion's share of Hollywood's movies by signing exclusive contracts with all the major studios.,ontonotes5
"But Showtime has continued to sign new contracts with Hollywood studios, and yesterday announced it will buy movies from Columbia Pictures Entertainment Inc., which currently has a non-exclusive arrangement with HBO.",ontonotes5
"Paxus said in a statement it has several ``well developed product and services relationships'' with the U.S. computer company, and plans to expand these links.",ontonotes5
"The agreement requires approval from Australia's Foreign Investment Review Board and National Companies and Securities Commission, and from shareholders of Paxus.",ontonotes5
Japan has climbed up from the ashes of World War II and a gross national product of about$ 800 per capita to reach the heavyweight class among industrialized nations.,ontonotes5
"Until 1980, when Japan joined the$ 10,000 per capita GNP club of the advanced countries, it was a model developing nation.",ontonotes5
The symptoms all point to one thing: Japan does not have a modern government.,ontonotes5
"The Ministry of Construction spreads concrete throughout the country and boasts in international conferences that Japan's paved roadway per capita is the longest in the world, but they seldom think of the poor commuters who spend so much time sitting in traffic.",ontonotes5
This ministry has done nothing to correct the misunderstandings and misperceptions that are at the root of Japan's deteriorating image.,ontonotes5
The rest of the world accepted such methods when Japan was developing.,ontonotes5
Japan is not a political country.,ontonotes5
"This makes enormous sense in Japan, where direct tax accounts for more than 70% of revenues and the capture rate of direct tax is so unfair.",ontonotes5
"Money, such as in Recruit's political donations, and women, as in the cases of Prime Minister Sosuke Uno and Secretary General Tokuo Yamashita, seldom have caused political scandals in Japan.",ontonotes5
"In the recent Upper House and Tokyo metropolitan congressional elections, in which the Socialist Party won a runaway victory, 60% of all women voted, as opposed to the usual 40%.",ontonotes5
"It's now OK to deal with the U.S., but not the Soviet Union.",ontonotes5
"One party could stand for consumer interests, small government, free trade and globalism to put Japan clearly among the most developed and open countries.",ontonotes5
Mr. Ohmae is managing director of McKinsey & Co. in Japan.,ontonotes5
"Early this century, diamond mining in the magnificent dunes where the Namib Desert meets the Atlantic Ocean was a day at the beach.",ontonotes5
It was as easy as collecting sea shells at Malibu.,ontonotes5
"Oh yes, the Atlantic was also pushed back 300 yards.",ontonotes5
"Here, wedged between shifting dunes and pounding waves at the world's most inhospitable diamond dig, lies the earth's most precious jewel box.",ontonotes5
"Thanks to centuries of polishing by Mother Nature--first in the gentle current of the Orange River that carried the stones from South Africa's interior, then in the cold surf of the ocean, and finally in the coarse sands of the desert--98% of the diamonds uncovered are of gem quality.",ontonotes5
"Months after railway worker Zacharias Lewala first picked up a diamond from the sand in 1908, the German colonialists who controlled Namibia proclaimed a wide swath of the desert--about 200 miles north from the Orange River and 60 miles inland from the Atlantic--a restricted area, a designation normally reserved for military operations.",ontonotes5
"When the Germans lost World War I, they lost Namibia to South Africa and the diamonds to Ernest Oppenheimer, patriarch of Anglo American Corp. and De Beers.",ontonotes5
The mining zone has thus remained one of the most desolate places in Africa.,ontonotes5
"Ghost towns dot the Namib dunes, proving diamonds aren't forever.",ontonotes5
"Oranjemund, the mine headquarters, is a lonely corporate oasis of 9,000 residents.",ontonotes5
"Still, miners from all parts of Namibia as well as professional staff from De Beers's head offices in South Africa and London keep coming.",ontonotes5
And Oranjemund boasts attractions besides diamonds.,ontonotes5
The pride of Oranjemund is the 18-hole golf course--with the largest sand trap in the world.,ontonotes5
"Last year, when the rising Orange River threatened to swamp the course, the same engineers who are pushing back the Atlantic rushed to build a wall to hold back the flood.",ontonotes5
"Just after Hurricane Hugo battered South Carolina, some officials talked of perhaps adding a penny to the state gasoline tax or raising property taxes.",ontonotes5
A spokesman for North Carolina Gov. Martin says Hugo hasn't prompted proposals for state or local increases.,ontonotes5
"California, where earthquake damage may top$ 5 billion, plans a special legislative session.",ontonotes5
"A claim by Peter Testa of New York that a stranger paid him$ 500 to go into a bank and change$ 44,400 in small bills into large bills ``is unconvincing ,'' the Tax Court found.",ontonotes5
"Ways and Means veteran Gephardt -LRB- D., Mo. -RRB- moves to the House Budget Committee; Rep. Cardin -LRB- D., Md. -RRB- replaces him....",ontonotes5
"Seattle's license fees for adult peep shows vary from those for other coin-operated amusements without serving a substantial government interest and are unconstitutional, the ninth-circuit appeals court holds for Acorn Investments Inc.",ontonotes5
"The ULI is a non-profit research and education group based in Washington, D.C., with 14,000 members nationwide.",ontonotes5
"Some plan to pursue foreign development ventures, mostly in Europe.",ontonotes5
And other developers may shift from commercial to residential development in the U.S..,ontonotes5
"``There aren't as many economically viable alternatives for real estate developers in this country as 10 years ago ,'' says Charles Shaw, a Chicago-based real estate developer. ``",ontonotes5
"``Developers are teaming up with institutions often acting as project managers ,'' says Smedes York, ULI president and president of York Properties Inc., of Raleigh, N.C.",ontonotes5
"``Why should you beat your brains out fighting the environmentalists, the neighborhood groups, dealing with traffic mitigation, sewers and fighting city hall, then try to convince a lender to lend you money in an overbuilt market when you can get pension fund money, buy a portfolio, sell off pieces off it and play your own game?'' says Jack Rodman, managing partner of the Los Angeles office of Kenneth Leventhal Inc. a national accounting firm.",ontonotes5
Sheraton Corp. and Pan American World Airways announced that they and two Soviet partners will construct two ``world-class'' hotels within a mile of Red Square in Moscow.,ontonotes5
U.S. and Soviet officials hailed the joint project as a new indication of the further thaw in U.S.-Soviet relations.,ontonotes5
"Commerce Secretary Robert Mosbacher, who attended the ceremony, called the undertaking a ``historic step'' in the evolution of U.S.-Soviet ties.",ontonotes5
The project will be the largest U.S.-backed joint venture to be undertaken in the Soviet Union in recent years.,ontonotes5
The six-story hotel will be on Gorky Street and initially will cater mostly to business travelers.,ontonotes5
"The second hotel, to be called the Budapest Hotel, is to be constructed at a site even closer to Red Square.",ontonotes5
"The Soviet owners will be Mossoviet, Moscow's city governing body, and Aeroflot, the Soviet national airline.",ontonotes5
"Although a Finnish group has a minority interest in an already operating Moscow hotel, the Sheraton-Pan Am venture will be the first joint-venture hotels in the Soviet Union to have as much as 50% foreign ownership.",ontonotes5
"U.S. companies account for less than 8% of the 1,000 or more Soviet joint ventures that have been announced since the Soviets began encouraging such undertakings in 1987.",ontonotes5
But some U.S. companies are negotiating projects that could be among the biggest ones to be launched.,ontonotes5
"Chevron Corp., Amoco Corp., Archer-Daniels-Midland Co., and Eastman Kodak Co. are among the U.S. companies known to be considering such ventures.",ontonotes5
"Thomas Plaskett, Pan Am's chairman, said the U.S. airline's participation is a natural outgrowth of its current arrangements with Aeroflot to jointly operate nonstop New York-Moscow flights.",ontonotes5
He said the rising volume of passenger traffic on this route justifies a major investment in new high-standard Moscow hotels.,ontonotes5
"Soichiro Honda's picture now hangs with Henry Ford's in the U.S. Automotive Hall of Fame, and the game-show ``Jeopardy'' is soon to be Sony-owned.",ontonotes5
"But no matter how much Japan gets under our skin, we'll still have mom and apple pie.",ontonotes5
A Japanese apple called the Fuji is cropping up in orchards the way Hondas did on U.S. roads.,ontonotes5
Some fruit visionaries say the Fuji could someday tumble the Red Delicious from the top of America's apple heap.,ontonotes5
"To hear most U.S. growers tell it, we 'd still be in Paradise if the serpent had proffered one to Eve.",ontonotes5
"It has a long shelf life and ``doesn't fool the public ,'' says Grady Auvil, an Orondo, Wash., grower who is planting Fujis and spreading the good word about them.",ontonotes5
"He is known as the father of the U.S.-grown Granny Smith, a radically different apple that the conventional wisdom once said would never catch on.",ontonotes5
"Its roots are patriotic--with the first trees appearing in 1872 in an orchard near Peru, Iowa, to be exact.",ontonotes5
"More than twice as many Red Delicious apples are grown as the Golden variety, America's No. 2 apple.",ontonotes5
"One may be William Broderick, a Sterling, Mass., grower.",ontonotes5
"Though growers can't always keep the worm from the apple, they can protect themselves against the price vagaries of any one variety by diversifying--into the recently imported Gala, a sweet New Zealand native; the Esopus Spitzenburg, reportedly Thomas Jefferson's favorite apple; disease-resistant kinds like the Liberty.",ontonotes5
"``I've ripped out a lot of Delicious'' and grafted the trees with many different shoots, says Steve Wood, a West Lebanon, N.H., grower, tramping through his 100-acre Poverty Lane Orchard on a crisp autumn day recently.",ontonotes5
"``Rather than sell 39-cents-a-pound Delicious, maybe we can sell 79-cents-a-pound Fujis ,'' says Chuck Tryon, perishables director for Super Valu Inc., a Minneapolis supermarket chain and food distributor.",ontonotes5
"In the cornucopia of go-go apples, the Fuji's track record stands out: During the past 15 years, it has gone from almost zilch to some 50% of Japan's market.",ontonotes5
"``The Japanese apple market is very keyed to high quality ,'' says David Lane, a scientist at a Canadian horticulture research center in Summerland, British Columbia, and so apples are more of a delicacy there than a big food commodity.",ontonotes5
The U.S. Department of Agriculture estimates that this year Americans will eat about 40% more fresh apples per capita than the Japanese.,ontonotes5
"The Fuji is still small potatoes in the U.S., sold mainly in fruit boutiques.",ontonotes5
"But in California, says Craig Ito, a Fuji-apple grower, ``There's a Fuji apple cult.",ontonotes5
"Mr. Auvil, the Washington grower, says that he could sell Fujis to Taiwan buyers at$ 40 a box if he had them.",ontonotes5
"-LRB- Taiwan already is a big importer of Fujis from other places, he adds. -RRB-",ontonotes5
"Washington Red Delicious, by the way, are wholesaling for less than$ 10 a box these days.",ontonotes5
"Mr. Auvil sees Fujis, in part, as striking a blow against the perversion of U.S. apples by supermarkets.",ontonotes5
"It ripens later than most apples, and growing it in U.S. areas with chilly autumns may be tricky.",ontonotes5
"Mr. Broderick, the Massachusetts grower, says the ``big boss'' at a supermarket chain even rejected his Red Delicious recently because they weren't waxed and brushed for extra shine.",ontonotes5
"The state attorney general's office filed suit against five New York brokerage firms, charging them with responsibility for much of a$ 200 million loss incurred by the state treasurer's office in 1987.",ontonotes5
The firms have all said that West Virginia's suit is without merit.,ontonotes5
"On Friday, the firms filed a suit against West Virginia in New York state court asking for a declaratory judgment absolving them of liability.",ontonotes5
"The suits relate to a$ 200 million loss, disclosed in December, that was suffered by West Virginia's consolidated investment pool.",ontonotes5
"Some agencies simply keep bad loans on the books; as late as 1987, the Export-Import Bank held in its portfolio at face value loans made to Cuba in the 1950s.",ontonotes5
The proposal reiterates the U.S. desire to scrap or reduce a host of trade-distorting subsidies on farm products.,ontonotes5
"The U.S. plan also would ease the transition to freer agriculture trade by allowing some countries to convert non-tariff barriers into tariffs that, together with existing tariffs, then would be phased out over 10 years.",ontonotes5
"Trade Representative Carla Hills, who along with Agriculture Secretary Clayton Yeutter unveiled the proposal, said she is confident it will gain considerable support from the U.S.'s trading partners.",ontonotes5
"Mr. Yeutter, seeking to allay European objections to an earlier U.S. plan that called for eliminating all farm-trade barriers by the year 2000, said the new U.S. proposal wouldn't ``put farmers out of business'' but would only encourage them to ``grow what the markets desire instead of what the government wants.''",ontonotes5
"The U.S. is submitting the proposal today in Geneva, hoping that the initiative will spur members of the General Agreement on Tariffs and Trade to reach agreement on new trade rules before their current negotiating round concludes in December 1990.",ontonotes5
"Another U.S. proposal filed Monday urges more ``fair play'' in services trade, including predictable and clear rules and equality in the treatment of foreign and domestic service companies.",ontonotes5
"Unlike the earlier U.S. farm-trade proposal which struck European countries as too extreme, the latest plan would provide some room for maneuver.",ontonotes5
"For instance, the new U.S. package makes clear there would be a transition period during which GATT members could use a combination of tariffs and quotas to cushion their farmers from foreign competition.",ontonotes5
"Instead of proposing a complete elimination of farm subsidies, as the earlier U.S. proposal did, the new package calls for the elimination of only the most tradedistorting ones.",ontonotes5
The new U.S. plan also would establish procedures to prevent countries from using health and sanitation rules to impede trade arbitrarily.,ontonotes5
The goal would be to resolve disputes such as one prompted by the European Community's current attempt to bar imports of beef from hormone-treated U.S. cattle.,ontonotes5
The U.S. contends that the rules aren't justified on health grounds.,ontonotes5
